年月,地區,信用卡產業別,年齡層,信用卡交易筆數,信用卡交易金額[新臺幣],編號
201401,臺灣,食,未滿20歲,11424,19735674,1
201401,臺灣,食,未滿20歲,11424,19735674,1
201401,臺灣,食,20(含)-25歲,241527,287356853,2
201401,臺灣,食,25(含)-30歲,912864,1279850142,3
201401,臺灣,食,30(含)-35歲,1731682,2632920544,4
201401,臺灣,食,35(含)-40歲,2175747,3439299617,5
201401,臺灣,食,40(含)-45歲,2256695,3744015542,6
201401,臺灣,食,45(含)-50歲,2103541,3561357770,7
201401,臺灣,食,50(含)-55歲,1658880,2928097746,8
201401,臺灣,食,55(含)-60歲,1171728,2114146945,9
201401,臺灣,食,60(含)-65歲,757042,1337749581,10
201401,臺灣,食,65(含)-70歲,294047,478944788,11
201401,臺灣,食,70(含)-75歲,134747,214941908,12
201401,臺灣,食,75(含)-80歲,54827,86900297,13
201401,臺灣,食,80(含)歲以上,44952,78367457,14
201401,臺灣,衣,未滿20歲,3755,8508927,15
201401,臺灣,衣,20(含)-25歲,80083,188940440,16
201401,臺灣,衣,25(含)-30歲,230807,586978455,17
201401,臺灣,衣,30(含)-35歲,398551,1040481032,18
201401,臺灣,衣,35(含)-40歲,453940,1212533328,19
201401,臺灣,衣,40(含)-45歲,420302,1211674958,20
201401,臺灣,衣,45(含)-50歲,344288,1120044160,21
201401,臺灣,衣,50(含)-55歲,220779,820454844,22
201401,臺灣,衣,55(含)-60歲,125173,521380316,23
201401,臺灣,衣,60(含)-65歲,63680,270662886,24
201401,臺灣,衣,65(含)-70歲,19920,83289633,25
201401,臺灣,衣,70(含)-75歲,6854,30919296,26
201401,臺灣,衣,75(含)-80歲,2185,10132954,27
201401,臺灣,衣,80(含)歲以上,6054,25072328,28
201401,臺灣,住,未滿20歲,2262,17761071,29
201401,臺灣,住,20(含)-25歲,43373,164834966,30
201401,臺灣,住,25(含)-30歲,172912,714701446,31
201401,臺灣,住,30(含)-35歲,328094,1477099752,32
201401,臺灣,住,35(含)-40歲,395091,1878149759,33
201401,臺灣,住,40(含)-45歲,399507,1988973094,34
201401,臺灣,住,45(含)-50歲,366616,1943301577,35
201401,臺灣,住,50(含)-55歲,280015,1494819682,36
201401,臺灣,住,55(含)-60歲,190959,1172323756,37
201401,臺灣,住,60(含)-65歲,111336,666983237,38
201401,臺灣,住,65(含)-70歲,40496,220840864,39
201401,臺灣,住,70(含)-75歲,16858,90780722,40
201401,臺灣,住,75(含)-80歲,6666,36651351,41
201401,臺灣,住,80(含)歲以上,7304,51514098,42
201401,臺灣,行,未滿20歲,18570,16450625,43
201401,臺灣,行,20(含)-25歲,365014,255058082,44
201401,臺灣,行,25(含)-30歲,1328697,1125870969,45
201401,臺灣,行,30(含)-35歲,2148372,2133278494,46
201401,臺灣,行,35(含)-40歲,2221930,2523263931,47
201401,臺灣,行,40(含)-45歲,2059146,2530592739,48
201401,臺灣,行,45(含)-50歲,1828097,2324339064,49
201401,臺灣,行,50(含)-55歲,1464829,1889388530,50
201401,臺灣,行,55(含)-60歲,998025,1289767033,51
201401,臺灣,行,60(含)-65歲,562931,712780369,52
201401,臺灣,行,65(含)-70歲,185298,219698307,53
201401,臺灣,行,70(含)-75歲,67337,81629096,54
201401,臺灣,行,75(含)-80歲,20105,24668615,55
201401,臺灣,行,80(含)歲以上,21367,28706040,56
201401,臺灣,文教康樂,未滿20歲,8015,44220468,57
201401,臺灣,文教康樂,20(含)-25歲,153249,495455195,58
201401,臺灣,文教康樂,25(含)-30歲,449904,1615838621,59
201401,臺灣,文教康樂,30(含)-35歲,627322,2627152057,60
201401,臺灣,文教康樂,35(含)-40歲,645717,3080734386,61
201401,臺灣,文教康樂,40(含)-45歲,610806,3489212219,62
201401,臺灣,文教康樂,45(含)-50歲,510983,3407361953,63
201401,臺灣,文教康樂,50(含)-55歲,343947,2578881176,64
201401,臺灣,文教康樂,55(含)-60歲,203725,1623577613,65
201401,臺灣,文教康樂,60(含)-65歲,114238,946476713,66
201401,臺灣,文教康樂,65(含)-70歲,41235,355237451,67
201401,臺灣,文教康樂,70(含)-75歲,17156,153809267,68
201401,臺灣,文教康樂,75(含)-80歲,6444,60506527,69
201401,臺灣,文教康樂,80(含)歲以上,10037,85919498,70
201401,臺灣,百貨,未滿20歲,8723,21489737,71
201401,臺灣,百貨,20(含)-25歲,191773,423897196,72
201401,臺灣,百貨,25(含)-30歲,657071,1651281176,73
201401,臺灣,百貨,30(含)-35歲,1129687,2893149452,74
201401,臺灣,百貨,35(含)-40歲,1271010,3382956726,75
201401,臺灣,百貨,40(含)-45歲,1154919,3334743656,76
201401,臺灣,百貨,45(含)-50歲,951686,3017239228,77
201401,臺灣,百貨,50(含)-55歲,644636,2296893971,78
201401,臺灣,百貨,55(含)-60歲,397994,1458518365,79
201401,臺灣,百貨,60(含)-65歲,229278,823632391,80
201401,臺灣,百貨,65(含)-70歲,81265,285953773,81
201401,臺灣,百貨,70(含)-75歲,34198,122306112,82
201401,臺灣,百貨,75(含)-80歲,14855,48726729,83
201401,臺灣,百貨,80(含)歲以上,15135,47988628,84
201401,臺灣,其他,未滿20歲,13980,28413792,85
201401,臺灣,其他,20(含)-25歲,355666,838803461,86
201401,臺灣,其他,25(含)-30歲,1400435,3453222662,87
201401,臺灣,其他,30(含)-35歲,2533010,6712638461,88
201401,臺灣,其他,35(含)-40歲,2919460,8673944452,89
201401,臺灣,其他,40(含)-45歲,2666890,8880039864,90
201401,臺灣,其他,45(含)-50歲,2260809,8504118200,91
201401,臺灣,其他,50(含)-55歲,1594407,6748792244,92
201401,臺灣,其他,55(含)-60歲,988972,4504590061,93
201401,臺灣,其他,60(含)-65歲,531217,2586203793,94
201401,臺灣,其他,65(含)-70歲,164496,846936169,95
201401,臺灣,其他,70(含)-75歲,60567,336235031,96
201401,臺灣,其他,75(含)-80歲,19697,97279605,97
201401,臺灣,其他,80(含)歲以上,33841,199227240,98
201402,臺灣,食,未滿20歲,9929,15124668,99
201402,臺灣,食,20(含)-25歲,205994,228548055,100
201402,臺灣,食,25(含)-30歲,765577,960572952,101
201402,臺灣,食,30(含)-35歲,1432914,1848257137,102
201402,臺灣,食,35(含)-40歲,1773107,2262150808,103
201402,臺灣,食,40(含)-45歲,1815644,2368481437,104
201402,臺灣,食,45(含)-50歲,1681701,2288566178,105
201402,臺灣,食,50(含)-55歲,1293934,1860987178,106
201402,臺灣,食,55(含)-60歲,889608,1331941769,107
201402,臺灣,食,60(含)-65歲,566578,843432616,108
201402,臺灣,食,65(含)-70歲,221312,330491773,109
201402,臺灣,食,70(含)-75歲,98772,145874523,110
201402,臺灣,食,75(含)-80歲,41405,64725016,111
201402,臺灣,食,80(含)歲以上,33955,58022111,112
201402,臺灣,衣,未滿20歲,2939,6535489,113
201402,臺灣,衣,20(含)-25歲,60646,136091899,114
201402,臺灣,衣,25(含)-30歲,159889,391019259,115
201402,臺灣,衣,30(含)-35歲,261602,660495784,116
201402,臺灣,衣,35(含)-40歲,276657,698346989,117
201402,臺灣,衣,40(含)-45歲,248245,669338672,118
201402,臺灣,衣,45(含)-50歲,212537,646888132,119
201402,臺灣,衣,50(含)-55歲,150475,525241156,120
201402,臺灣,衣,55(含)-60歲,88873,349343553,121
201402,臺灣,衣,60(含)-65歲,46319,182950676,122
201402,臺灣,衣,65(含)-70歲,14054,54841596,123
201402,臺灣,衣,70(含)-75歲,5096,20172473,124
201402,臺灣,衣,75(含)-80歲,1594,6305348,125
201402,臺灣,衣,80(含)歲以上,3812,15643522,126
201402,臺灣,住,未滿20歲,2017,13400404,127
201402,臺灣,住,20(含)-25歲,38976,128264391,128
201402,臺灣,住,25(含)-30歲,147754,524172589,129
201402,臺灣,住,30(含)-35歲,271845,1059674125,130
201402,臺灣,住,35(含)-40歲,318993,1315914126,131
201402,臺灣,住,40(含)-45歲,309831,1356416697,132
201402,臺灣,住,45(含)-50歲,279751,1345678422,133
201402,臺灣,住,50(含)-55歲,210768,993613165,134
201402,臺灣,住,55(含)-60歲,141969,798608640,135
201402,臺灣,住,60(含)-65歲,81925,425876372,136
201402,臺灣,住,65(含)-70歲,30253,153133091,137
201402,臺灣,住,70(含)-75歲,12377,61057855,138
201402,臺灣,住,75(含)-80歲,5208,28152429,139
201402,臺灣,住,80(含)歲以上,5686,38857915,140
201402,臺灣,行,未滿20歲,16466,17961438,141
201402,臺灣,行,20(含)-25歲,319231,234880885,142
201402,臺灣,行,25(含)-30歲,1174419,1032850089,143
201402,臺灣,行,30(含)-35歲,1930330,1940154124,144
201402,臺灣,行,35(含)-40歲,2012059,2279403938,145
201402,臺灣,行,40(含)-45歲,1857835,2256969701,146
201402,臺灣,行,45(含)-50歲,1648937,2063947800,147
201402,臺灣,行,50(含)-55歲,1323096,1681566299,148
201402,臺灣,行,55(含)-60歲,895836,1153648358,149
201402,臺灣,行,60(含)-65歲,501987,638719515,150
201402,臺灣,行,65(含)-70歲,165778,200187360,151
201402,臺灣,行,70(含)-75歲,58861,71246265,152
201402,臺灣,行,75(含)-80歲,17630,21791675,153
201402,臺灣,行,80(含)歲以上,18709,26245779,154
201402,臺灣,文教康樂,未滿20歲,8386,36451518,155
201402,臺灣,文教康樂,20(含)-25歲,166557,540994316,156
201402,臺灣,文教康樂,25(含)-30歲,470014,1663967297,157
201402,臺灣,文教康樂,30(含)-35歲,640731,2611014581,158
201402,臺灣,文教康樂,35(含)-40歲,649298,2841205751,159
201402,臺灣,文教康樂,40(含)-45歲,627157,3331072720,160
201402,臺灣,文教康樂,45(含)-50歲,560247,4171470316,161
201402,臺灣,文教康樂,50(含)-55歲,382558,3373972296,162
201402,臺灣,文教康樂,55(含)-60歲,212451,1786053061,163
201402,臺灣,文教康樂,60(含)-65歲,112938,896576116,164
201402,臺灣,文教康樂,65(含)-70歲,40024,337354866,165
201402,臺灣,文教康樂,70(含)-75歲,16340,140740856,166
201402,臺灣,文教康樂,75(含)-80歲,5980,51840983,167
201402,臺灣,文教康樂,80(含)歲以上,9984,90833046,168
201402,臺灣,百貨,未滿20歲,8152,17469417,169
201402,臺灣,百貨,20(含)-25歲,176784,394263447,170
201402,臺灣,百貨,25(含)-30歲,572122,1418347137,171
201402,臺灣,百貨,30(含)-35歲,949180,2365616958,172
201402,臺灣,百貨,35(含)-40歲,1036620,2600229228,173
201402,臺灣,百貨,40(含)-45歲,929511,2487962078,174
201402,臺灣,百貨,45(含)-50歲,770818,2273845789,175
201402,臺灣,百貨,50(含)-55歲,532371,1753504577,176
201402,臺灣,百貨,55(含)-60歲,327536,1124539905,177
201402,臺灣,百貨,60(含)-65歲,183916,626386454,178
201402,臺灣,百貨,65(含)-70歲,63894,212520928,179
201402,臺灣,百貨,70(含)-75歲,26411,87721518,180
201402,臺灣,百貨,75(含)-80歲,10962,35657989,181
201402,臺灣,百貨,80(含)歲以上,12089,37065687,182
201402,臺灣,其他,未滿20歲,12722,30468780,183
201402,臺灣,其他,20(含)-25歲,316370,719316864,184
201402,臺灣,其他,25(含)-30歲,1233148,2816768198,185
201402,臺灣,其他,30(含)-35歲,2252985,5537045212,186
201402,臺灣,其他,35(含)-40歲,2620194,7139222661,187
201402,臺灣,其他,40(含)-45歲,2397488,7334700872,188
201402,臺灣,其他,45(含)-50歲,2037063,7267217577,189
201402,臺灣,其他,50(含)-55歲,1437113,5749734611,190
201402,臺灣,其他,55(含)-60歲,877008,3751109998,191
201402,臺灣,其他,60(含)-65歲,467333,2034663368,192
201402,臺灣,其他,65(含)-70歲,143918,649555054,193
201402,臺灣,其他,70(含)-75歲,51825,275369336,194
201402,臺灣,其他,75(含)-80歲,16705,77062692,195
201402,臺灣,其他,80(含)歲以上,29795,170353937,196
201403,臺灣,食,未滿20歲,11040,15577922,197
201403,臺灣,食,20(含)-25歲,241623,253257996,198
201403,臺灣,食,25(含)-30歲,870437,1053371812,199
201403,臺灣,食,30(含)-35歲,1641908,2067742814,200
201403,臺灣,食,35(含)-40歲,2047167,2514833090,201
201403,臺灣,食,40(含)-45歲,2085952,2534692219,202
201403,臺灣,食,45(含)-50歲,1918107,2395896159,203
201403,臺灣,食,50(含)-55歲,1489233,1950377970,204
201403,臺灣,食,55(含)-60歲,1047248,1428457491,205
201403,臺灣,食,60(含)-65歲,679662,914393444,206
201403,臺灣,食,65(含)-70歲,270553,349431820,207
201403,臺灣,食,70(含)-75歲,120324,153144651,208
201403,臺灣,食,75(含)-80歲,50261,63772980,209
201403,臺灣,食,80(含)歲以上,40017,56590284,210
201403,臺灣,衣,未滿20歲,3107,7243289,211
201403,臺灣,衣,20(含)-25歲,68311,144471637,212
201403,臺灣,衣,25(含)-30歲,188035,449787205,213
201403,臺灣,衣,30(含)-35歲,310964,765980213,214
201403,臺灣,衣,35(含)-40歲,320437,815304810,215
201403,臺灣,衣,40(含)-45歲,268582,732086988,216
201403,臺灣,衣,45(含)-50歲,223570,698210701,217
201403,臺灣,衣,50(含)-55歲,158918,565746240,218
201403,臺灣,衣,55(含)-60歲,99317,388657414,219
201403,臺灣,衣,60(含)-65歲,52801,209815925,220
201403,臺灣,衣,65(含)-70歲,16895,67062070,221
201403,臺灣,衣,70(含)-75歲,5655,23343381,222
201403,臺灣,衣,75(含)-80歲,1840,7988782,223
201403,臺灣,衣,80(含)歲以上,4384,17243365,224
201403,臺灣,住,未滿20歲,1905,13572716,225
201403,臺灣,住,20(含)-25歲,38988,129856043,226
201403,臺灣,住,25(含)-30歲,148759,551300561,227
201403,臺灣,住,30(含)-35歲,275588,1123408574,228
